Date,PX_LAST,Change %,Change
2022-03-27,1516.44,0.012,17.940000000000055
2022-04-03,1482.0,-0.0227,-34.440000000000055
2022-04-10,1458.56,-0.0158,-23.44000000000005
2022-04-17,1379.23,-0.054400000000000004,-79.32999999999993
2022-04-24,1366.8,-0.009000000000000001,-12.430000000000064
2022-05-01,1329.26,-0.0275,-37.53999999999997
2022-05-08,1182.77,-0.11019999999999999,-146.49
2022-05-15,1240.71,0.049,57.940000000000055
2022-05-22,1285.45,0.0361,44.74000000000001
2022-05-29,1287.98,0.002,2.5299999999999727
2022-06-05,1284.08,-0.003,-3.900000000000091
2022-06-12,1217.3,-0.052000000000000005,-66.77999999999997
2022-06-19,1185.48,-0.026099999999999998,-31.819999999999936
2022-06-26,1198.9,0.0113,13.420000000000073
2022-07-03,1171.31,-0.023,-27.590000000000146
2022-07-10,1179.25,0.0068000000000000005,7.940000000000055
2022-07-17,1194.76,0.0132,15.509999999999993
2022-07-24,1206.33,0.0097,11.569999999999936
2022-07-31,1252.74,0.0385,46.41000000000008
2022-08-07,1262.33,0.0077,9.589999999999918
2022-08-14,1269.18,0.0054,6.850000000000136
2022-08-21,1282.57,0.0106,13.389999999999873
2022-08-28,1280.51,-0.0016,-2.059999999999945
2022-09-04,1248.78,-0.0248,-31.730000000000015
2022-09-11,1234.03,-0.0118,-14.75
2022-09-18,1203.28,-0.024900000000000002,-30.75
2022-09-25,1132.11,-0.0591,-71.17000000000007
2022-10-02,1035.91,-0.085,-96.19999999999982
2022-10-09,1061.85,0.025,25.939999999999827
2022-10-16,1019.82,-0.039599999999999996,-42.02999999999986
2022-10-23,1027.36,0.0074,7.53999999999985
2022-10-30,997.15,-0.0294,-30.209999999999923
2022-11-06,954.53,-0.042699999999999995,-42.620000000000005
2022-11-13,969.33,0.0155,14.800000000000068
2022-11-20,971.46,0.0022,2.1299999999999955
2022-11-27,1080.01,0.1117,108.54999999999995
2022-12-04,1051.81,-0.026099999999999998,-28.200000000000045
2022-12-11,1052.48,0.0006,0.6700000000000728
2022-12-18,1020.34,-0.0305,-32.139999999999986
2022-12-25,1007.09,-0.013000000000000001,-13.25
2023-01-01,1051.44,0.044000000000000004,44.35000000000002
2023-01-08,1060.17,0.0083,8.730000000000018
2023-01-15,1108.08,0.0452,47.909999999999854
2023-01-22,1117.1,0.008100000000000001,9.019999999999982
2023-01-29,1077.15,-0.0358,-39.94999999999982
2023-02-05,1055.3,-0.0203,-21.850000000000136
2023-02-12,1059.31,0.0038,4.009999999999991
2023-02-19,1039.56,-0.018600000000000002,-19.75
2023-02-26,1024.77,-0.014199999999999999,-14.789999999999964
2023-03-05,1053.0,0.0275,28.230000000000015
2023-03-12,1045.14,-0.0075,-7.8599999999999
2023-03-19,1046.79,0.0016,1.6499999999998636
2023-03-26,1064.64,0.0171,17.850000000000136
2023-04-02,1069.71,0.0048,5.069999999999936
2023-04-09,1052.89,-0.015700000000000002,-16.819999999999936
2023-04-16,1042.91,-0.0095,-9.980000000000018
2023-04-23,1049.12,0.006,6.209999999999809
2023-04-30,1040.31,-0.0084,-8.809999999999945
2023-05-07,1066.9,0.0256,26.590000000000146
2023-05-14,1067.07,0.0002,0.1699999999998453
2023-05-21,1063.76,-0.0031,-3.309999999999945
2023-05-28,1090.84,0.0255,27.079999999999927
2023-06-04,1107.53,0.015300000000000001,16.690000000000055
2023-06-11,1115.22,0.0069,7.690000000000055
2023-06-18,1129.38,0.0127,14.160000000000082
2023-06-25,1120.18,-0.008100000000000001,-9.200000000000044
2023-07-02,1138.07,0.016,17.889999999999873
2023-07-09,1168.4,0.026699999999999998,30.330000000000155
2023-07-16,1185.9,0.015,17.5
2023-07-23,1207.67,0.0184,21.769999999999985
2023-07-30,1225.98,0.0152,18.309999999999945
2023-08-06,1232.21,0.0051,6.230000000000018
2023-08-13,1177.99,-0.044000000000000004,-54.22000000000003
2023-08-20,1183.37,0.0046,5.379999999999882
2023-08-27,1224.05,0.0344,40.680000000000064
2023-09-03,1241.48,0.014199999999999999,17.430000000000064
2023-09-10,1227.36,-0.011399999999999999,-14.120000000000118
2023-09-17,1193.05,-0.027999999999999997,-34.309999999999945
2023-09-24,1154.15,-0.0326,-38.89999999999986
2023-10-01,1128.54,-0.0222,-25.610000000000127
2023-10-08,1154.73,0.0232,26.19000000000005
2023-10-15,1108.03,-0.0404,-46.700000000000045
2023-10-22,1060.62,-0.042800000000000005,-47.41000000000008
2023-10-29,1076.78,0.0152,16.160000000000082
2023-11-05,1101.68,0.0231,24.90000000000009
2023-11-12,1101.19,-0.0004,-0.4900000000000091
2023-11-19,1095.61,-0.0051,-5.580000000000155
2023-11-26,1102.16,0.006,6.550000000000182
2023-12-03,1124.44,0.0202,22.279999999999973
2023-12-10,1102.3,-0.0197,-22.1400000000001
2023-12-17,1103.06,0.0007000000000000001,0.7599999999999909
